Episode Number,Pitch Number,Brand,Idea,Investment Amount (In Lakhs INR) ,Debt (In lakhs INR),Equity ,Valuation Offered (In Lakhs INR),Anupam,Ashneer,Namita,Aman,Peyush,Vineeta,Ghazal
1,1,BluePine Industries,Frozen Momos,75,0,0.18,416.67,Out,In,Out,In,Out,In,Out
1,2,Booz scooters,Renting e-bike for mobility in private spaces,40,0,0.50,80.00,Out,In,Out,Out,Out,In,Out
1,3,Heart up my Sleeves,Detachable Sleeves,25,0,0.30,83.33,In,Out,Out,Out,Out,In,Out
2,4,Tagz Foods,Healthy Potato Chips,70,0,0.03,2545.45,Out,In,Out,Out,Out,Out,Out
2,5,Head and Heart,Brain Development Course,0,0,0.00,0.00,Out,Out,Out,Out,Out,Out,Out
2,6,Agro tourism,Tourism,0,0,0.00,0.00,Out,Out,Out,Out,Out,Out,Out
3,7,Qzense Labs,Food Freshness Detector,0,0,0.00,0.00,Out,Out,Out,Out,Out,Out,Out
3,8,Peeschute,Disposable Urine Bag,75,0,0.06,1250.00,Out,Out,Out,In,Out,Out,Out
3,9,NOCD,Energy Drink,20,30,0.15,133.33,Out,Out,Out,Out,Out,In,Out
4,10,Cosiq,Intelligent Skincare,50,0,0.25,200.00,In,Out,Out,Out,Out,In,Out
4,11,JhaJi Achaar,Pickle,0,0,0.00,0.00,Out,Out,Out,Out,Out,Out,Out
4,12,Bummer,Underwear,75,0,0.08,1000.00,Out,Out,In,In,Out,Out,Out
5,13,Revamp Moto,E-Bike,10,0,0.02,666.67,In,Out,Out,In,Out,Out,Out
5,14,Hungry Heads,Restaurant serving 80 types of Maggi,0,0,0.00,0.00,Out,Out,Out,Out,Out,Out,Out
5,15,Shrawani Engineers,Belly Button Shaper,0,0,0.00,0.00,Out,Out,Out,Out,Out,Out,Out
6,16,Skippi Pops,Ice-Pops,10,0,0.15,66.67,In,In,In,In,Out,In,Out
6,17,Menstrupedia,Menstrual Awareness Comic,50,0,0.20,250.00,Out,Out,In,Out,Out,Out,Out
6,18,Hecolll,Pollution Resistant Fabric,0,0,0.00,0.00,Out,Out,Out,Out,Out,Out,Out
7,19,Raising Superstars,Child Development App,10,0,0.04,250.00,Out,In,Out,In,Out,Out,Out
7,20,Torch-it,Gadgets for visually impaired people,0,0,0.00,0.00,Out,Out,Out,Out,Out,Out,Out
7,21,La Kheer Deli,Kheer in variety of flavors,0,0,0.00,0.00,Out,Out,Out,Out,Out,Out,Out
8,22,Beyond Snack,Kerala Banana Chips,50,0,0.03,2000.00,Out,In,Out,In,Out,Out,Out
8,23,Vivalyf Innovations- Easy Life,Prickless Diabetes Testing Machine,56,0,0.33,168.17,In,Out,Out,Out,In,Out,Out
8,24,Motion Breeze,Smart Electric Motorcycle,30,0,0.06,500.00,Out,In,Out,Out,Out,Out,Out
9,25,Altor,Smart Helmets,50,0,0.07,714.29,Out,Out,In,In,Out,Out,Out
9,26,Ariro,Wooden Toys,50,0,0.10,500.00,Out,Out,Out,In,In,Out,Out
9,27,Kabira Handmade,Healthy Oils,0,0,0.00,0.00,Out,Out,Out,Out,Out,Out,Out
10,28,Nuutjob,Male Intimate Hygiene,25,0,0.20,125.00,Out,Out,In,In,In,Out,Out
10,29,Meatyour,Eggs,30,0,0.20,150.00,In,Out,Out,In,In,Out,Out
10,30,EventBeep,Student Community App,30,0,0.03,1000.00,Out,In,Out,In,In,Out,Out
11,31,Gopal's 56,Fiber Ice Cream,0,0,0.00,0.00,Out,Out,Out,Out,Out,Out,Out
11,32,ARRCOAT Surface Textures,Wall Building,50,0,0.15,333.33,In,Out,Out,Out,Out,Out,Out
11,33,Farda,Customised Streetwear,30,0,0.20,150.00,Out,Out,In,In,Out,Out,Out
12,34,Auli Lifestyle,Ayurvedic Products,75,0,0.05,1500.00,Out,Out,In,Out,Out,Out,Out
